slug,name,source,author,ownership,installs,avg,reviews,one_star_pct,low_pct,five_star_pct,threads_2mo,unresolved_pct,last_updated,days_stale,added,tags,one_star_scraped,one_star_last_12mo,one_star_12_24mo,one_star_recent_share_pct,one_star_titles_recent,dl_yesterday,dl_7d,dl_all,version_split,polarized,pre_score,enriched,seam_score
disable-xml-rpc-api,Disable XML-RPC-API,popular,aminnz,indie?,100000,4.2,43,16.3,20.9,76.7,1,100.0,2026-02-04,219,2020-10-01,"disable-xml-rpc,disable-xmlrpc,pingback,stop-brute-force-attacks,xmlrpc",,,,,,,,,,,7.0,False,
disable-comments-rb,Disable Comments,popular,rbplugins,indie?,100000,3.8,25,28.0,28.0,68.0,0,,2026-05-27,107,2017-06-01,"comments,disable,disable-comments",,,,,,,,,,,7.0,False,
xcloner-backup-and-restore,"Backup, Restore and Migrate your sites with XCloner",backup,watchful,indie?,10000,4.2,129,15.5,17.8,72.9,3,100.0,2026-05-26,108,2010-09-28,"backup,cloud-backup,database-backup,wordpress-backup,wordpress-migration",,,,,,,,,,,6.3,False,
embed-form,"Online Forms — Customizable Payment, Contact, Quiz, Survey F",forms,jotform,indie?,20000,3.2,29,44.8,44.8,51.7,1,100.0,2026-08-14,28,2013-06-07,"custom-form,form-builder,forms,online-contact-form,wordpress-form-plugin",,,,,,,,,,,5.8,False,
klarna-payments-for-woocommerce,Klarna for WooCommerce,woocommerce,klarnaplugin,indie?,20000,2.3,20,65.0,65.0,25.0,1,0.0,2026-08-25,17,2017-12-12,"e-commerce,ecommerce,klarna,woocommerce",,,,,,,,,,,5.8,False,
mollie-payments-for-woocommerce,Mollie Payments for WooCommerce,popular,mollieintegration,captive/rollup,100000,3.5,70,27.1,37.1,57.1,7,28.6,2026-09-08,3,2015-08-17,"credit-card,ecommerce,mollie,payments,woocommerce",,,,,,,,,,,5.7,False,
printify-for-woocommerce,Printify for WooCommerce,woocommerce,printify,indie?,10000,2.8,37,48.6,51.4,40.5,0,,2026-05-27,107,2017-09-15,"drop-shipping,print-on-demand,printify,printing,woocommerce",,,,,,,,,,,5.7,False,
indexnow,IndexNow Plugin,popular,bingwebmastertools,captive/rollup,100000,3.2,47,38.3,44.7,51.1,2,100.0,2026-06-26,77,2021-12-20,"crawling,seo",,,,,,,,,,,5.4,False,
bulk-image-alt-text-with-yoast,"Bulk Auto Image Alt Text (Alt tag, Alt attribute) optimizer ",seo,pagup,indie?,10000,4.2,111,15.3,17.1,73.0,0,,2026-07-25,48,2018-10-03,"alt-attribute,alt-tag,alt-text,google-images,seo",,,,,,,,,,,5.4,False,
polldaddy,"Crowdsignal Dashboard - Polls, Surveys - more",popular,automattic,captive/rollup,200000,2.7,34,35.3,50.0,26.5,0,,2026-07-15,58,2008-10-15,"polling,polls,rating,surveys,vote",,,,,,,,,,,5.1,False,
woo-mailerlite,MailerLite - WooCommerce integration,woocommerce,mailerlite,captive/rollup,30000,2.8,64,46.9,46.9,35.9,2,100.0,2026-09-01,10,2017-05-11,"automation,ecommerce,email-marketing,mailerlite,woocommerce",,,,,,,,,,,4.9,False,
motopress-hotel-booking-lite,MotoPress Hotel Booking,booking,jetmonsters,indie?,10000,3.7,65,23.1,30.8,56.9,1,0.0,2026-09-04,7,2018-04-04,"booking,booking-engine,hotel,hotel-booking,reservation",,,,,,,,,,,4.7,False,
wp-multilang,WP Multilang - Translation and Multilingual Plugin,multilingual,magazine3,indie?,10000,4.3,100,15.0,17.0,77.0,1,0.0,2026-09-03,8,2017-05-24,"localization,multilanguage,multilingual,translate,translation",,,,,,,,,,,4.7,False,
official-mailerlite-sign-up-forms,MailerLite - Signup forms (official),popular,mailerlite,captive/rollup,100000,3.0,40,37.5,47.5,35.0,1,100.0,2026-06-26,77,2014-08-03,"form,mailerlite,newsletter,subscribe,webform",,,,,,,,,,,4.5,False,
gravity-forms-zero-spam,Gravity Forms Zero Spam,popular,gravityview,indie?,100000,4.3,24,16.7,16.7,83.3,1,0.0,2026-09-01,10,2014-10-06,"anti-spam,captcha,gravity-forms,honeypot,spam",,,,,,,,,,,4.0,False,
woocommerce-conversion-tracking,Conversion Tracking for WooCommerce,woocommerce,wedevs,indie?,20000,3.0,24,37.5,45.8,41.7,1,100.0,2026-02-05,218,2014-03-27,"commerce,e-commerce,ecommerce,tracking,woocommerce",,,,,,,,,,,4.0,False,
woo-razorpay,Razorpay for WooCommerce,popular,razorpay,captive/rollup,100000,2.5,23,56.5,56.5,30.4,1,100.0,2026-09-04,7,2015-10-26,"curlec,india,payments,razorpay,woocommerce",,,,,,,,,,,3.9,False,
yith-woocommerce-badges-management,YITH WooCommerce Badge Management,woocommerce,yithemes,captive/rollup,10000,2.9,93,44.1,52.7,40.9,1,100.0,2026-09-02,9,2015-03-25,"badge,badges,products,woocommerce,yith",,,,,,,,,,,3.9,False,
afterpay-gateway-for-woocommerce,Afterpay Gateway for WooCommerce,woocommerce,afterpayit,indie?,10000,3.6,45,26.7,35.6,53.3,2,0.0,2025-03-17,543,2018-08-29,"afterpay,woocommerce",,,,,,,,,,,3.8,False,
woocommerce-colors,WooCommerce Colors,woocommerce,claudiosanches,indie?,10000,3.2,31,38.7,41.9,48.4,0,,2020-08-27,2206,2015-01-13,"shortcodes,woocommerce",,,,,,,,,,,3.8,False,
custom-order-statuses-woocommerce,Custom Order Status for WooCommerce,woocommerce,tychesoftwares,indie?,10000,3.3,32,34.4,40.6,50.0,1,100.0,2026-09-01,10,2016-10-28,"custom-status,order-status,woo-commerce,woocommerce",,,,,,,,,,,3.5,False,
tracking-code-manager,Tracking Code Manager,popular,data443,captive/rollup,90000,4.1,58,20.7,22.4,72.4,0,,2026-08-20,22,2015-04-07,"deliver-content-by-ad,map-google-ads,profit-google-ad,track-google-ad,utm-management",,,,,,,,,,,3.4,False,
klaviyo,Klaviyo,popular,klaviyo,captive/rollup,100000,2.8,24,45.8,50.0,33.3,2,100.0,2026-08-17,25,2012-04-11,"analytics,email,klaviyo,marketing,woocommerce",,,,,,,,,,,3.3,False,
woosidebars,WooSidebars,popular,woothemes,captive/rollup,100000,3.9,48,20.8,27.1,64.6,1,100.0,2024-04-03,891,2012-12-04,"sidebars,widget-areas,widgets",,,,,,,,,,,3.0,False,
yith-woocommerce-catalog-mode,YITH WooCommerce Catalog Mode,woocommerce,yithemes,captive/rollup,60000,3.6,44,29.5,34.1,61.4,0,,2026-08-18,24,2015-02-19,"products,themes,woocommerce,woocommerce-catalog-mode-plugin,woocommerce-catalog-only",,,,,,,,,,,3.0,False,
woocommerce-sendinblue-newsletter-subscription,Brevo for WooCommerce,woocommerce,neeraj_slit,captive/rollup,30000,3.4,53,34.0,37.7,52.8,2,0.0,2026-08-17,25,2014-05-22,"email-marketing,marketing-automation,newsletter,sms,woocommerce",,,,,,,,,,,3.0,False,
omnibus,Omnibus — show the lowest price,woocommerce,iworks,indie?,10000,4.1,51,17.6,19.6,72.5,1,100.0,2025-07-21,417,2022-12-29,"e-commerce,omnibus,price,shop,woocommerce",,,,,,,,,,,2.8,False,
webp-uploads,Modern Image Formats,popular,performanceteam,captive/rollup,100000,3.5,25,36.0,36.0,60.0,1,0.0,2026-08-26,16,2023-04-06,"avif,images,modern-image-formats,performance,webp",,,,,,,,,,,2.7,False,
captcha-code-authentication,Captcha Code,popular,webfactory,captive/rollup,100000,3.9,35,25.7,28.6,68.6,1,0.0,2026-08-16,26,2012-07-17,"captcha,comments-spam,form-captcha,login-captcha,recaptcha",,,,,,,,,,,2.7,False,
woocommerce-gateway-paypal-powered-by-braintree,PayPal Enterprise Payments (formerly Braintree) for WooComme,woocommerce,woocommerce,captive/rollup,10000,2.6,50,56.0,60.0,38.0,1,100.0,2026-09-08,3,2016-01-05,"braintree,ecommerce,payments,paypal,woocommerce",,,,,,,,,,,2.7,False,
date-time-picker-field,Availability Datepicker – Booking Calendar for Contact Form ,booking,inputwp,indie?,10000,4.1,42,19.0,21.4,73.8,1,100.0,2026-02-27,196,2018-06-25,"availability,booking,calendar,contact-form-7,datepicker",,,,,,,,,,,2.5,False,
woocommerce-sequential-order-numbers,Sequential Order Numbers for WooCommerce,woocommerce,skyverge,indie?,10000,3.8,29,27.6,27.6,62.1,0,,2026-03-02,193,2012-04-02,"order-number,sequential-order-number,woocommerce,woocommerce-orders",,,,,,,,,,,2.5,False,
remove-category-url,Remove Category URL - Remove &#039;category&#039; base from ,seo,themeisle,captive/rollup,40000,4.2,59,16.9,18.6,78.0,0,,2026-08-20,22,2014-07-02,"category-base,permalinks,seo,slug,taxonomy",,,,,,,,,,,1.9,False,
yith-woocommerce-zoom-magnifier,YITH WooCommerce Product Gallery - Image Zoom,woocommerce,yithemes,captive/rollup,10000,3.6,71,28.2,31.0,53.5,0,,2026-08-20,22,2013-05-23,"carousel,magnifier,slider,woocommerce,zoom",,,,,,,,,,,1.9,False,
woocommerce-grid-list-toggle,WooCommerce Grid / List toggle,woocommerce,jameskoster,indie?,10000,3.8,31,19.4,29.0,58.1,0,,2018-05-11,3045,2012-08-25,"ecommerce,grid,list,products,woocommerce",,,,,,,,,,,1.9,False,
acf-content-analysis-for-yoast-seo,ACF Content Analysis for Yoast SEO,popular,yoast,captive/rollup,100000,4.1,35,17.1,20.0,71.4,0,,2026-08-18,24,2015-12-17,"acf,advanced-custom-fields,analysis,seo,yoast",,,,,,,,,,,1.8,False,
yith-woocommerce-compare,YITH WooCommerce Compare,popular,yithemes,captive/rollup,100000,4.1,38,15.8,23.7,68.4,1,100.0,2026-08-26,16,2013-06-24,"compare-products,product-compare,product-comparison,woocommerce-compare,yith",,,,,,,,,,,1.8,False,
custom-order-numbers-for-woocommerce,Custom Order Numbers for WooCommerce,woocommerce,tychesoftwares,indie?,20000,4.2,25,16.0,20.0,76.0,10,90.0,2026-09-01,10,2017-01-02,"custom-order-numbers,sequential-order-numbers,woocommerce",,,,,,,,,,,1.8,False,
yith-woocommerce-quick-view,YITH WooCommerce Quick View,popular,yithemes,captive/rollup,90000,3.8,27,22.2,22.2,55.6,0,,2026-09-03,8,2015-02-17,"products-quick-view,quick-view,woocommerce,woocommerce-quick-view",,,,,,,,,,,1.7,False,
colissimo-shipping-methods-for-woocommerce,Colissimo shipping methods for WooCommerce,woocommerce,iscpcolissimo,indie?,10000,3.7,28,17.9,32.1,53.6,12,50.0,2026-09-08,3,2020-02-21,"colissimo,shipping,woocommerce",,,,,,,,,,,1.6,False,
woocommerce-gateway-amazon-payments-advanced,Amazon Pay for WooCommerce,woocommerce,woocommerce,captive/rollup,10000,2.5,27,55.6,63.0,33.3,1,100.0,2026-07-22,51,2020-01-22,"amazon,checkout,e-commerce,payments,woocommerce",,,,,,,,,,,1.4,False,
bing-webmaster-tools,Bing URL Submissions Plugin,seo,bingwebmastertools,captive/rollup,40000,3.3,21,33.3,38.1,47.6,0,,2026-05-21,113,2020-07-17,"crawling,seo",,,,,,,,,,,1.3,False,
ba-book-everything,BA Book Everything,booking,bookingalgorithms,indie?,10000,4.2,20,20.0,20.0,80.0,1,100.0,2026-08-10,32,2018-01-11,"booking,properties,rental,tours,yachts",,,,,,,,,,,1.3,False,
hide-shipping-method-for-woocommerce,Hide Shipping Method For WooCommerce,woocommerce,dots,indie?,10000,4.0,25,16.0,28.0,68.0,1,0.0,2026-01-12,242,2019-12-19,"free-shipping,hide,hide-shipping-methods,local-pickup,woocommerce",,,,,,,,,,,1.3,False,
saphali-woocommerce-lite,Saphali Woocommerce Lite,woocommerce,saphali,indie?,10000,4.2,25,16.0,16.0,68.0,0,,2026-09-08,3,2012-10-21,"manager-fields-checkout,russian-ruble,ukrainian-hryvnia,woo-commerce-lite,woocommerce",,,,,,,,,,,1.3,False,
woocommerce-for-japan,Japanized for WooCommerce,woocommerce,shoheitanaka,indie?,10000,3.3,21,19.0,42.9,42.9,1,100.0,2026-07-08,65,2014-06-22,"e-commerce,ecommerce,japanese,woocommerce",,,,,,,,,,,1.3,False,
sensei-lms,"Sensei LMS - Online Courses, Quizzes, - Learning",lms,automattic,captive/rollup,10000,3.5,40,25.0,37.5,52.5,1,0.0,2026-08-20,22,2019-05-01,"elearning,lms,online-courses,teach,woocommerce",,,,,,,,,,,0.9,False,
